Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,2457.250000,2540.899902,2457.250000,2531.699951,2514.937988,1149676
2022-08-30,2545.000000,2623.100098,2543.000000,2604.649902,2587.405029,1794736
2022-09-01,2592.949951,2647.149902,2565.649902,2622.000000,2604.640381,1438313
2022-09-02,2631.000000,2645.000000,2607.050049,2612.600098,2595.302490,800453
2022-09-05,2625.000000,2640.000000,2610.850098,2627.350098,2609.954834,733481
2022-09-06,2631.699951,2646.899902,2611.000000,2631.649902,2614.226318,680071
2022-09-07,2607.000000,2641.399902,2600.399902,2637.750000,2620.285889,438635
2022-09-08,2649.000000,2659.899902,2616.000000,2626.699951,2609.309082,754150
2022-09-09,2652.000000,2652.149902,2593.000000,2603.449951,2586.212891,777186
2022-09-12,2616.800049,2669.699951,2610.000000,2661.149902,2643.531006,808360
2022-09-13,2680.000000,2723.000000,2672.000000,2705.550049,2687.637207,1536444
2022-09-14,2645.000000,2712.000000,2645.000000,2700.600098,2682.719971,915281
2022-09-15,2714.149902,2717.000000,2648.000000,2656.149902,2638.563965,753648
2022-09-16,2648.000000,2677.649902,2604.250000,2611.800049,2594.507813,1425731
2022-09-19,2611.750000,2632.000000,2552.550049,2619.800049,2602.454834,808421
2022-09-20,2642.199951,2693.550049,2635.100098,2684.000000,2666.229736,844553
2022-09-21,2688.000000,2700.000000,2656.649902,2666.649902,2648.994385,1052572
2022-09-22,2660.000000,2744.949951,2650.000000,2737.600098,2719.475098,1352472
2022-09-23,2737.600098,2755.699951,2667.000000,2672.449951,2654.756104,1226889
2022-09-26,2666.000000,2677.949951,2563.550049,2655.500000,2637.918457,1371409
2022-09-27,2669.949951,2679.550049,2585.550049,2600.350098,2583.133545,1246270
2022-09-28,2587.500000,2634.500000,2564.500000,2576.949951,2559.888672,1419969
2022-09-29,2594.850098,2606.050049,2517.350098,2531.500000,2514.739502,1177076
2022-09-30,2538.000000,2637.399902,2522.600098,2606.949951,2589.689941,1453944
2022-10-03,2625.000000,2625.000000,2555.600098,2574.199951,2557.156738,1049142
2022-10-04,2629.000000,2629.000000,2571.649902,2585.100098,2567.984619,1291070
2022-10-06,2598.050049,2620.000000,2581.600098,2592.850098,2575.683350,1409852
2022-10-07,2690.000000,2745.000000,2675.000000,2730.500000,2712.422119,5284814
2022-10-10,2710.000000,2727.899902,2658.000000,2680.100098,2662.355713,1290447
2022-10-11,2693.000000,2694.000000,2616.399902,2624.500000,2607.123779,1067626
2022-10-12,2630.000000,2644.899902,2606.000000,2621.350098,2603.994629,1131702
2022-10-13,2610.000000,2628.000000,2591.000000,2598.649902,2581.444824,1038687
2022-10-14,2640.000000,2663.600098,2607.750000,2617.800049,2600.468018,1326916
2022-10-17,2613.899902,2634.899902,2602.550049,2625.000000,2607.620361,1111199
2022-10-18,2638.149902,2664.699951,2623.149902,2641.100098,2623.613770,771852
2022-10-19,2654.350098,2677.000000,2640.000000,2644.550049,2627.040771,1001916
2022-10-20,2640.000000,2644.000000,2581.350098,2631.500000,2614.077393,1022636
2022-10-21,2650.000000,2679.649902,2640.050049,2665.649902,2648.000977,986521
2022-10-24,2697.000000,2699.899902,2679.149902,2683.899902,2666.130371,184595
2022-10-25,2697.350098,2697.350098,2662.000000,2670.300049,2652.620605,505759
2022-10-27,2700.000000,2765.000000,2680.000000,2703.800049,2685.898682,2117791
2022-10-28,2708.949951,2738.899902,2693.250000,2736.399902,2718.282715,1003160
2022-10-31,2750.000000,2791.000000,2738.250000,2761.500000,2743.216553,1144647
2022-11-01,2770.149902,2784.000000,2741.000000,2754.949951,2736.709961,890107
2022-11-02,2745.000000,2747.350098,2703.000000,2728.449951,2710.385498,1704942
2022-11-03,2705.000000,2779.000000,2705.000000,2763.649902,2745.352295,1227960
2022-11-04,2774.899902,2781.449951,2746.600098,2769.699951,2751.362305,1172058
2022-11-07,2772.000000,2772.000000,2706.300049,2741.550049,2723.398682,1825529
2022-11-09,2769.000000,2769.000000,2710.000000,2718.100098,2700.104248,1184702
2022-11-10,2710.000000,2711.100098,2628.000000,2641.000000,2623.514404,1198585
2022-11-11,2671.000000,2694.399902,2641.550049,2651.800049,2634.243164,833729
2022-11-14,2658.000000,2665.000000,2623.199951,2629.800049,2612.388672,565428
2022-11-15,2642.949951,2669.149902,2621.050049,2656.649902,2639.060547,1033296
2022-11-16,2659.000000,2678.199951,2630.000000,2644.300049,2626.792725,835064
2022-11-17,2638.000000,2645.000000,2576.000000,2582.000000,2564.905029,1265647
2022-11-18,2580.000000,2583.399902,2545.000000,2565.800049,2548.812256,1038751
2022-11-21,2552.000000,2578.949951,2539.649902,2573.350098,2556.312500,629040
